ID,Letter,Headerword,Part of Speech,IPA Prnounciation,Phonetic Pronunciation,Definition in Mandinka,Translation and Sentences,English Translation,Mandinka Sentence,Sentence IPA Pronouncation,Sentence Phonetic Pronounciation,Sentence English Translation,Source,Country
4371,M,mutoo,n,/mutoː/,m-o-oht-oh-oh,,"holding, arresting,",#N/A,#N/A,/#n/a/,#n/-ah,"holding, arresting,",PC,Gambia
4372,M,mutumutoo,n,/mutumutoː/,m-o-oht-o-ohm-o-oht-oh-oh,,sandfly. Mutumutoo ye n kin. A sandfly bit me.,sandfly,Mutumutoo ye n kin,/mutumutoː je n kin/,Loading...,A sandfly bit me.,PC,Gambia
4373,M,muu,v,/muː/,m-o-oh-o-oh,,"to paint, deal with , polish,
apply body cream . I baa be muu la I fee le saama. Yourmother will deal with you tomorrow.","to paint, deal with , polish,
apply body cream",I baa be muu la I fee le saama,/i baː be muː la i feː le saːma/,ehh b-ah-ah b-eh m-o-oh-o-oh l-ah -ehh f-eh-eh l-eh s-ah-ahm-ah,Yourmother will deal with you tomorrow.,PC,Gambia
4376,M,muudoo,n,/muːdoː/,m-o-oh-o-ohd-oh-oh,,"charity given on""Korite"" day. I fanta muudoo bondi la le. You should give out charity.","charity given on""Korite"" day",I fanta muudoo bondi la le,/i fanta muːdoː bondi la le/,Loading...,You should give out charity.,PC,Gambia
4377,M,muuloo,n,/muːloː/,m-o-oh-o-ohl-oh-oh,,mould. N fuu muuloo la. Lendmeamould.,mould,N fuu muuloo la,/n fuː muːloː la/,Loading...,Lendmeamould.,PC,Gambia
4378,M,muumee,adj,/muːmeː/,m-o-oh-o-ohm-eh-eh,,"surprise, puzzle. N may muumee. J'm not puzzled.","surprise, puzzle",N may muumee,/n maj muːmeː/,Loading...,J'm not puzzled.,PC,Gambia
4379,M,muumee,n,/muːmeː/,m-o-oh-o-ohm-eh-eh,,whole. A ye booto muumee le samba. He tookawaya whole bag.,whole,A ye booto muumee le samba,/a je boːto muːmeː le samba/,ah y-eh b-oh-oht-oh m-o-oh-o-ohm-eh-eh l-eh s-ahmb-ah,He tookawaya whole bag.,PC,Gambia
4380,M,muumeeke,adv,/muːmeːke/,m-o-oh-o-ohm-eh-ehk-eh,,"even, already, at all. N man a soto muumecke. J haven't got it at all.","even, already, at all",N man a soto muumecke,/n man a soto muːmetʃke/,Loading...,J haven't got it at all.,PC,Gambia
4381,M,muumeeta,adj,/muːmeːta/,m-o-oh-o-ohm-eh-eht-ah,,"surprise, puzzled. N muumeeta le. J puzzled.","surprise, puzzled",N muumeeta le,/n muːmeːta le/,Loading...,J puzzled.,PC,Gambia
4382,M,muumunee,n,/muːmuneː/,m-o-oh-o-ohm-o-ohn-eh-eh,,dumb person. A mu muumunee le ti. Heisadump person.,dumb person,A mu muumunee le ti,/a mu muːmuneː le ti/,ah m-o-oh m-o-oh-o-ohm-o-ohn-eh-eh l-eh t-ehh,Heisadump person.,PC,Gambia
4383,M,muufioo,n,/muːfioː/,m-o-oh-o-ohf-ehh-oh-oh,,"smiling, smile. A be muufioo la. He is. smiling.","smiling, smile",A be muufioo la,/a be muːfioː la/,Loading...,He is. smiling.,PC,Gambia
4384,M,muufiu,v,/muːfiu/,m-o-oh-o-ohf-ehh-o-oh,,to smile. Abe muufiu kan. He is smiling.,to smile,Abe muufiu kan,/abe muːfiu kan/,ahb-eh m-o-oh-o-ohf-ehh-o-oh k-ahn,He is smiling.,PC,Gambia
4385,M,muufiuta,v,/muːfiuta/,m-o-oh-o-ohf-ehh-o-oht-ah,,"to has smiled, smiled. A muiuta n fee. She smiled at me.","to has smiled, smiled",A muiuta n fee,/a muiuta n feː/,ah m-o-oh-ehh-o-oht-ah n f-eh-eh,She smiled at me.,PC,Gambia
4386,M,muura,vy,/muːra/,m-o-oh-o-ohr-ah,,"to cover, See""muuri"".","to cover, See""muuri""",#N/A,/#n/a/,#n/-ah,"to cover, See""muuri"".",PC,Gambia
4387,M,muuri,v,/muːri/,m-o-oh-o-ohr-ehh,,to cover. Wo booloo muuri. Cover that bowl.,to cover,Wo booloo muuri,/wo boːloː muːri/,Loading...,Cover that bowl.,PC,Gambia
4388,M,muurilago,n,/muːrilago/,m-o-oh-o-ohr-ehhl-ahg-oh,,"a cover, painting brush.. I ye muurilano soto le ban? Do you have acover?","a cover, painting brush",,,Loading...,I ye muurilano soto le ban? Do you have acover?,PC,Gambia
4389,M,muurin,sv,/muːrin/,m-o-oh-o-ohr-ehhn,,"painted, polished. Woo buno be muurin ne. That house is painted.","painted, polished",Woo buno be muurin ne,/woː buno be muːrin ne/,w-oh-oh b-o-ohn-oh b-eh m-o-oh-o-ohr-ehhn n-eh,That house is painted.,PC,Gambia
4390,M,muurigo,adj,/muːrigo/,m-o-oh-o-ohr-ehhg-oh,,"painted, polished. Bun muurino. A painted house.","painted, polished",Bun muurino,/bun muːrino/,b-o-ohn m-o-oh-o-ohr-ehhn-oh,A painted house.,PC,Gambia
4391,M,muuruntee,n,/muːrunteː/,m-o-oh-o-ohr-o-ohnt-eh-eh,,one handicapped by leprosy.,one handicapped by leprosy,#N/A,/#n/a/,Loading...,one handicapped by leprosy.,PC,Gambia
4392,M,muus,ex,/muːs/,m-o-oh-o-ohs,,word for calling a cat.,word for calling a cat,#N/A,/#n/a/,Loading...,word for calling a cat.,PC,Gambia
4393,M,Muusaa,n,/muːsaː/,m-o-oh-o-ohs-ah-ah,,"man's name, Moses.","man's name, Moses",#N/A,/#n/a/,#n/-ah,"man's name, Moses.",PC,Gambia
4394,M,muuta,v,/muːta/,m-o-oh-o-oht-ah,,"to painted, polished, dealt with . N muuta a fee kunun. J dealt with him yesterday.","to painted, polished, dealt with",N muuta a fee kunun,/n muːta a feː kunun/,n m-o-oh-o-oht-ah -ah f-eh-eh k-o-ohn-o-ohn,J dealt with him yesterday.,PC,Gambia
4396,M,muwan,adj,/muwan/,m-o-ohw-ahn,,twenty. Moo muwan ne be jee. Twenty people are there.,twenty,Moo muwan ne be jee,/moː muwan ne be dʒeː/,m-oh-oh m-o-ohw-ahn n-eh b-eh j-eh-eh,Twenty people are there.,PC,Gambia
4397,M,muy,v,/muj/,m-o-ohy,,to sprain. A man muy. /t didn't sprain.,to sprain,A man muy,/a man muj/,ah m-ahn m-o-ohy,/t didn't sprain.,PC,Gambia
4398,M,muyita,v,/mujita/,m-o-ohy-ehht-ah,,to has sprined. Ate sino muyita le. His leg has sprained.,to has sprined,Ate sino muyita le,/ate sino mujita le/,aht-eh s-ehhn-oh m-o-ohy-ehht-ah l-eh,His leg has sprained.,PC,Gambia
4399,M,muyoo,n,/mujoː/,m-o-ohy-oh-oh,,sprain. Nin mu muyoo le ti. This is asprian. - 66-,sprain,Nin mu muyoo le ti,/nin mu mujoː le ti/,n-ehhn m-o-oh m-o-ohy-oh-oh l-eh t-ehh,This is asprian. - 66-,PC,Gambia
4400,N,n,spn,/n/,n,,I. N be I kumandi la le. Jwill call you. n me. A dii nna. Give it tome.,I,N be I kumandi la le,/n be i kumandi la le/,Loading...,Jwill call you. n me. A dii nna. Give it tome.,PC,Gambia
4401,N,na,postp,/na/,n-ah,,"see""la"".","see""la""",#N/A,/#n/a/,#n/-ah,"see""la"".",PC,Gambia
4402,N,naa,v,/naː/,n-ah-ah,,"to come, approach. Naajan. Come here.","to come, approach",Naajan,/naːdʒan/,Loading...,Come here.,PC,Gambia
4403,N,naa,n,/naː/,n-ah-ah,,"mother, powdered baobab leaf, coming. I naa lee? Whereis your mother.","mother, powdered baobab leaf, coming",I naa lee? Whereis your mother,/i naː leː? whereis jour mother/,Loading...,Whereis your mother.,PC,Gambia
4404,N,naa,adv,/naː/,n-ah-ah,,"almost, nearly, on the verge. I be naa taridee la. Youwere nearly late.","almost, nearly, on the verge",I be naa taridee la,/i be naː tarideː la/,Loading...,Youwere nearly late.,PC,Gambia
4405,N,naadaa,n,/naːdaː/,n-ah-ahd-ah-ah,,soup of baobab leave. A ye naadaa le tabi. She cooked baobab leaf soup.,soup of baobab leave,A ye naadaa le tabi,/a je naːdaː le tabi/,ah y-eh n-ah-ahd-ah-ah l-eh t-ahb-ehh,She cooked baobab leaf soup.,PC,Gambia
4406,N,naafa,adj,/naːfa/,n-ah-ahf-ah,,slow. N man naafa. Jim notslow.,slow,N man naafa,/n man naːfa/,n m-ahn n-ah-ahf-ah,Jim notslow.,PC,Gambia
4407,N,naafandi,v,/naːfandi/,n-ah-ahf-ahnd-ehh,,"to delay, cause something/one to be slow. Kana a naafandi. Don'tmake itslow.","to delay, cause something/one to be slow",Kana a naafandi,/kana a naːfandi/,k-ahn-ah -ah n-ah-ahf-ahnd-ehh,Don'tmake itslow.,PC,Gambia
4408,N,naafarin,adj,/naːfarin/,n-ah-ahf-ahr-ehhn,,slow. A be naafarin ne. It's slow.,slow,A be naafarin ne,/a be naːfarin ne/,Loading...,It's slow.,PC,Gambia
4409,N,naafarino,adj,/naːfarino/,n-ah-ahf-ahr-ehhn-oh,,slow. A mu moo naafarino le ti. He is aslow person.,slow,A mu moo naafarino le ti,/a mu moː naːfarino le ti/,Loading...,He is aslow person.,PC,Gambia
4410,N,naafata,adj,/naːfata/,n-ah-ahf-aht-ah,,slow. Ite naafata le. You are slow.,slow,Ite naafata le,/ite naːfata le/,Loading...,You are slow.,PC,Gambia
4411,N,naafee,v,/naːfeː/,n-ah-ahf-eh-eh,,to bring. A naafee. Bring it.,to bring,A naafee,/a naːfeː/,ah n-ah-ahf-eh-eh,Bring it.,PC,Gambia
4412,N,naafikiyaa,n,/naːfikijaː/,n-ah-ahf-ehhk-ehhy-ah-ah,,hypocricy. Naafikiyaa jawuyaata baake. Hypocricy is very evil.,hypocricy,Naafikiyaa jawuyaata baake,/naːfikijaː dʒawujaːta baːke/,Loading...,Hypocricy is very evil.,PC,Gambia
4413,N,naafikiyaata,adj,/naːfikijaːta/,n-ah-ahf-ehhk-ehhy-ah-aht-ah,,hypocritical. A naafikiyaata baake. He is very hypocritical.,hypocritical,A naafikiyaata baake,/a naːfikijaːta baːke/,ah n-ah-ahf-ehhk-ehhy-ah-aht-ah b-ah-ahk-eh,He is very hypocritical.,PC,Gambia
4414,N,naafikoo,n,/naːfikoː/,n-ah-ahf-ehhk-oh-oh,,hypocrite. I mu naafikoo le ti. You area hyocrite.,hypocrite,I mu naafikoo le ti,/i mu naːfikoː le ti/,ehh m-o-oh n-ah-ahf-ehhk-oh-oh l-eh t-ehh,You area hyocrite.,PC,Gambia
4415,N,naafiloo,n,/naːfiloː/,n-ah-ahf-ehhl-oh-oh,,voluntary,#N/A,#N/A,/#n/a/,#n/-ah,voluntary,PC,Gambia
4416,N,naafoo,n,/naːfoː/,n-ah-ahf-oh-oh,,"hat, helmet, cap, beret. N na naafoo ke laarano kan. Putmy hat on the bed.","hat, helmet, cap, beret",N na naafoo ke laarano kan,/n na naːfoː ke laːrano kan/,n n-ah n-ah-ahf-oh-oh k-eh l-ah-ahr-ahn-oh k-ahn,Putmy hat on the bed.,PC,Gambia
4417,N,naafuloo,n,/naːfuloː/,n-ah-ahf-o-ohl-oh-oh,,wealth. N lafita naafuloo la. Jwant wealth.,wealth,N lafita naafuloo la,/n lafita naːfuloː la/,n l-ahf-ehht-ah n-ah-ahf-o-ohl-oh-oh l-ah,Jwant wealth.,PC,Gambia
4418,N,naafulutiiyaa,n,/naːfulutiːjaː/,n-ah-ahf-o-ohl-o-oht-ehh-ehhy-ah-ah,,"wealthiness, richness.","wealthiness, richness",#N/A,/#n/a/,#n/-ah,"wealthiness, richness.",PC,Gambia
4419,N,naafulutiyo,n,/naːfulutijo/,n-ah-ahf-o-ohl-o-oht-ehhy-oh,,wealthy person. Ibrayima mu naafulutiyo le ti. Ibrayima is a wealthy person. naaki,wealthy person,Ibrayima mu naafulutiyo le ti,/ibrajima mu naːfulutijo le ti/,Loading...,Ibrayima is a wealthy person. naaki,PC,Gambia
4420,F,fenolu,n,/fenolu/,f-ehn-ohl-o-oh,,"see ""naakitofenolu"". naakito","see ""naakitofenolu""",#N/A,/#n/a/,#n/-ah,"see ""naakitofenolu"". naakito",PC,Gambia
4421,F,fenolu,n,/fenolu/,f-ehn-ohl-o-oh,,"garden items, vegetables. A ka naakifenolu le waafi. He sells vegetables.","garden items, vegetables",A ka naakifenolu le waafi,/a ka naːkifenolu le waːfi/,ah k-ah n-ah-ahk-ehhf-ehn-ohl-o-oh l-eh w-ah-ahf-ehh,He sells vegetables.,PC,Gambia
4422,N,naakoo,n,/naːkoː/,n-ah-ahk-oh-oh,,garden. kadii be naakoo to. Kadit is at the garden.,garden,kadii be naakoo to,/kadiː be naːkoː to/,k-ahd-ehh-ehh b-eh n-ah-ahk-oh-oh t-oh,Kadit is at the garden.,PC,Gambia
