ID,Letter,Headerword,Part of Speech,IPA Prnounciation,Phonetic Pronunciation,Definition in Mandinka,Translation and Sentences,English Translation,Mandinka Sentence,Sentence IPA Pronouncation,Sentence Phonetic Pronounciation,Sentence English Translation,Source,Country
634,C,cafu,v,/tʃafu/,ch-ahf-o-oh,,to hold. Nin cafu ya taa. Hold this let's go.,to hold,Nin cafu ya taa,/nin tʃafu ja taː/,n-ehhn ch-ahf-o-oh y-ah t-ah-ah,Hold this let's go.,PC,Gambia
635,C,cakabuno,n,/tʃakabuno/,ch-ahk-ahb-o-ohn-oh,,brothel.,brothel,#N/A,/#n/a/,#n/-ah,brothel.,PC,Gambia
636,C,cakati,v,/tʃakati/,ch-ahk-aht-ehh,,to snatch. A ye nna kalaa cakati n bulu. He snatched my pen Jromme.,to snatch,A ye nna kalaa cakati n bulu,/a je nna kalaː tʃakati n bulu/,ah y-eh nn-ah k-ahl-ah-ah ch-ahk-aht-ehh n b-o-ohl-o-oh,He snatched my pen Jromme.,PC,Gambia
637,C,cakayaa,n,/tʃakajaː/,ch-ahk-ahy-ah-ah,,prostitution. Cakayaa man beteyaa. Prostitution is not good.,prostitution,Cakayaa man beteyaa,/tʃakajaː man betejaː/,ch-ahk-ahy-ah-ah m-ahn b-eht-ehy-ah-ah,Prostitution is not good.,PC,Gambia
638,C,cakoo,n,/tʃakoː/,ch-ahk-oh-oh,,"loose woman, whore, prostitute. A mu cakoo le ti. She isa prostitude.","loose woman, whore, prostitute",A mu cakoo le ti,/a mu tʃakoː le ti/,ah m-o-oh ch-ahk-oh-oh l-eh t-ehh,She isa prostitude.,PC,Gambia
639,C,calijiyo,n,/tʃalidʒijo/,ch-ahl-ehhj-ehhy-oh,,cooking rice. Calijiyo ke nee juloo kono. Put the drained water in the bucket.,cooking rice,Calijiyo ke nee juloo kono,/tʃalidʒijo ke neː dʒuloː kono/,ch-ahl-ehhj-ehhy-oh k-eh n-eh-eh j-o-ohl-oh-oh k-ohn-oh,Put the drained water in the bucket.,PC,Gambia
640,C,campiyono,n,/tʃampijono/,ch-ahmp-ehhy-ohn-oh,,champion.,champion,#N/A,/#n/a/,#n/-ah,champion.,PC,Gambia
641,C,cansu,vy,/tʃansu/,ch-ahns-o-oh,,"to clutch. ""Goal keeper"" ye katoo cansu. The goal keeper held the ball.",to clutch,"""Goal keeper"" ye katoo cansu","/""goal keːper"" je katoː tʃansu/","""g-oh-ahl k-eh-ehp-ehr"" y-eh k-aht-oh-oh ch-ahns-o-oh",The goal keeper held the ball.,PC,Gambia
642,C,can,v,/tʃan/,ch-ahn,,"to be unable to go ahead, react against, to have a breakdown.","to be unable to go ahead, react against, to have a breakdown",#N/A,/#n/a/,#n/-ah,"to be unable to go ahead, react against, to have a breakdown.",PC,Gambia
643,C,canayoo,n,/tʃanajoː/,ch-ahn-ahy-oh-oh,,"fatigue, body pain. Canayoo le be n na. J have fatigue.","fatigue, body pain",Canayoo le be n na,/tʃanajoː le be n na/,ch-ahn-ahy-oh-oh l-eh b-eh n n-ah,J have fatigue.,PC,Gambia
644,C,caparewo,n,/tʃaparewo/,ch-ahp-ahr-ehw-oh,,featherless fowl.,featherless fowl,#N/A,/#n/a/,#n/-ah,featherless fowl.,PC,Gambia
645,C,capatoo,n,/tʃapatoː/,ch-ahp-aht-oh-oh,,"snake, cobra.","snake, cobra",#N/A,/#n/a/,#n/-ah,"snake, cobra.",PC,Gambia
646,C,capi,v,/tʃapi/,ch-ahp-ehh,,"to hold, carry. Woo bukoo capi nan. Hold that and come.","to hold, carry",Woo bukoo capi nan,/woː bukoː tʃapi nan/,w-oh-oh b-o-ohk-oh-oh ch-ahp-ehh n-ahn,Hold that and come.,PC,Gambia
647,C,capu,v,/tʃapu/,ch-ahp-o-oh,,"to hold, carry.","to hold, carry",#N/A,/#n/a/,#n/-ah,"to hold, carry.",PC,Gambia
648,C,Caraa,n,/tʃaraː/,ch-ahr-ah-ah,,ox pecker.,ox pecker,#N/A,/#n/a/,#n/-ah,ox pecker.,PC,Gambia
649,C,caroo,n,/tʃaroː/,ch-ahr-oh-oh,,ox pecker.,ox pecker,#N/A,/#n/a/,#n/-ah,ox pecker.,PC,Gambia
650,C,caus,v,/tʃaus/,ch-ah-o-ohs,,"to difficult, complicate, hard, expensive. I lafita a koleyandi la le. You want to make it difficult.","to difficult, complicate, hard, expensive",I lafita a koleyandi la le,/i lafita a kolejandi la le/,ehh l-ahf-ehht-ah -ah k-ohl-ehy-ahnd-ehh l-ah l-eh,You want to make it difficult.,PC,Gambia
651,C,ceenoo,n,/tʃeːnoː/,ch-eh-ehn-oh-oh,,"chain, necklace.","chain, necklace",#N/A,/#n/a/,#n/-ah,"chain, necklace.",PC,Gambia
652,C,cekoo,n,/tʃekoː/,ch-ehk-oh-oh,,cheque.,cheque,#N/A,/#n/a/,#n/-ah,cheque.,PC,Gambia
653,C,ceno,n,/tʃeno/,ch-ehn-oh,,fat. Nin niisoo ceno siyaata le. This cow has a lot of fat.,fat,Nin niisoo ceno siyaata le,/nin niːsoː tʃeno sijaːta le/,n-ehhn n-ehh-ehhs-oh-oh ch-ehn-oh s-ehhy-ah-aht-ah l-eh,This cow has a lot of fat.,PC,Gambia
654,C,Cerno,n,/tʃerno/,ch-ehrn-oh,,man's name.,man's name,#N/A,/#n/a/,#n/-ah,man's name.,PC,Gambia
655,C,ciifu,v,/tʃiːfu/,ch-ehh-ehhf-o-oh,,to hiss. A man i ciifu. He didn't hiss at you.,to hiss,A man i ciifu,/a man i tʃiːfu/,ah m-ahn -ehh ch-ehh-ehhf-o-oh,He didn't hiss at you.,PC,Gambia
656,C,ciifuroo,n,/tʃiːfuroː/,ch-ehh-ehhf-o-ohr-oh-oh,,hissing. Ciifuroo bula. Stop hissing.,hissing,Ciifuroo bula,/tʃiːfuroː bula/,ch-ehh-ehhf-o-ohr-oh-oh b-o-ohl-ah,Stop hissing.,PC,Gambia
657,C,ciipu,v,/tʃiːpu/,ch-ehh-ehhp-o-oh,,to hiss. Kana n ciipu. Dont hiss me.,to hiss,Kana n ciipu,/kana n tʃiːpu/,k-ahn-ah n ch-ehh-ehhp-o-oh,Dont hiss me.,PC,Gambia
658,C,ciipuroo,vn,/tʃiːpuroː/,ch-ehh-ehhp-o-ohr-oh-oh,,hissing. Ciipuroo bula. Stop hissing.,hissing,Ciipuroo bula,/tʃiːpuroː bula/,ch-ehh-ehhp-o-ohr-oh-oh b-o-ohl-ah,Stop hissing.,PC,Gambia
659,C,ciisoo,n,/tʃiːsoː/,ch-ehh-ehhs-oh-oh,,cheese. N man lafi ciisoo la. Idon't like cheese.,cheese,N man lafi ciisoo la,/n man lafi tʃiːsoː la/,n m-ahn l-ahf-ehh ch-ehh-ehhs-oh-oh l-ah,Idon't like cheese.,PC,Gambia
660,C,cika,v,/tʃika/,ch-ehhk-ah,,"to lift, raise, pick. A cika. Lift it.","to lift, raise, pick",A cika,/a tʃika/,ah ch-ehhk-ah,Lift it.,PC,Gambia
661,C,cikandi,v,/tʃikandi/,ch-ehhk-ahnd-ehh,,"to lift, raise. I sino cikandi. Raise up your foot.","to lift, raise",I sino cikandi,/i sino tʃikandi/,ehh s-ehhn-oh ch-ehhk-ahnd-ehh,Raise up your foot.,PC,Gambia
662,C,cikarilaa,n,/tʃikarilaː/,ch-ehhk-ahr-ehhl-ah-ah,,"stealer, thief. N man lafi cikarilaa la jan. Wedontwanta thief here.","stealer, thief",N man lafi cikarilaa la jan,/n man lafi tʃikarilaː la dʒan/,n m-ahn l-ahf-ehh ch-ehhk-ahr-ehhl-ah-ah l-ah j-ahn,Wedontwanta thief here.,PC,Gambia
663,C,cinoo,n,/tʃinoː/,ch-ehhn-oh-oh,,cooked food. Ali cinoo naati. Bring the food.,cooked food,Ali cinoo naati,/ali tʃinoː naːti/,ahl-ehh ch-ehhn-oh-oh n-ah-aht-ehh,Bring the food.,PC,Gambia
664,C,cipanpano,n,/tʃipampano/,ch-ehhp-ahnp-ahn-oh,,sodom apple. Cipanpano buka wara baake. Sodom apple tree doesn't get very big.,sodom apple,Cipanpano buka wara baake,/tʃipampano buka wara baːke/,ch-ehhp-ahnp-ahn-oh b-o-ohk-ah w-ahr-ah b-ah-ahk-eh,Sodom apple tree doesn't get very big.,PC,Gambia
665,C,cipon,v,/tʃipon/,ch-ehhp-ohn,,to jump down from up. I cipon. Aanpdoun.,to jump down from up,I cipon,/i tʃipon/,ehh ch-ehhp-ohn,Aanpdoun.,PC,Gambia
666,C,coki,n,/tʃoki/,ch-ohk-ehh,,join.,join,#N/A,/#n/a/,#n/-ah,join.,PC,Gambia
667,C,cokiroo,n,/tʃokiroː/,ch-ohk-ehhr-oh-oh,,join. Woo juloolu coki. Join those ropes.,join,Woo juloolu coki,/woː dʒuloːlu tʃoki/,w-oh-oh j-o-ohl-oh-ohl-o-oh ch-ohk-ehh,Join those ropes.,PC,Gambia
668,C,cokodimoo,n,/tʃokodimoː/,ch-ohk-ohd-ehhm-oh-oh,,arthritis. Cokodimoo le be a la. He has arthritis.,arthritis,Cokodimoo le be a la,/tʃokodimoː le be a la/,ch-ohk-ohd-ehhm-oh-oh l-eh b-eh -ah l-ah,He has arthritis.,PC,Gambia
669,C,cokoliili,v,/tʃokoliːli/,ch-ohk-ohl-ehh-ehhl-ehh,,to tickle. Kanan cokoliilii. Don't tickle me.,to tickle,Kanan cokoliilii,/kanan tʃokoliːliː/,k-ahn-ahn ch-ohk-ohl-ehh-ehhl-ehh-ehh,Don't tickle me.,PC,Gambia
670,C,cokondin-sinjano,n,/tʃokondin-sindʒano/,ch-ohk-ohnd-ehhn-s-ehhnj-ahn-oh,,a game.,a game,#N/A,/#n/a/,#n/-ah,a game.,PC,Gambia
671,C,cokoo,n,/tʃokoː/,ch-ohk-oh-oh,,"a game, joint, chalk. Cokoo ke walaa daala. Put the chalk near the board.","a game, joint, chalk",Cokoo ke walaa daala,/tʃokoː ke walaː daːla/,ch-ohk-oh-oh k-eh w-ahl-ah-ah d-ah-ahl-ah,Put the chalk near the board.,PC,Gambia
672,C,compin-compin,adj,/tʃompin-tʃompin/,ch-ohmp-ehhn-ch-ohmp-ehhn,,spotted in colour. Woo niisoo man compincompin. That cow is not spotted.,spotted in colour,Woo niisoo man compincompin,/woː niːsoː man tʃompintʃompin/,w-oh-oh n-ehh-ehhs-oh-oh m-ahn ch-ohmp-ehhnch-ohmp-ehhn,That cow is not spotted.,PC,Gambia
673,C,compliment,n,/tʃompliment/,ch-ohmpl-ehhm-ehnt,,"you all at work, you at work.","you all at work, you at work",#N/A,/#n/a/,#n/-ah,"you all at work, you at work.",PC,Gambia
674,C,conka,v,/tʃoŋka/,ch-ohnk-ah,,to lift. N conka. Liffme by the shoulders.,to lift,N conka,/n tʃoŋka/,n ch-ohnk-ah,Liffme by the shoulders.,PC,Gambia
675,C,cono,n,/tʃono/,ch-ohn-oh,,weed.,weed,#N/A,/#n/a/,#n/-ah,weed.,PC,Gambia
676,C,conti,v,/tʃonti/,ch-ohnt-ehh,,to pound. Maanoo conti. Pound the rice. ¢,to pound,Maanoo conti,/maːnoː tʃonti/,m-ah-ahn-oh-oh ch-ohnt-ehh,Pound the rice. ¢,PC,Gambia
677,0,00Cc00,n,/00tʃtʃ00/,00chch00,,"noise, church. Ia taa coocoo to. Let's go to church.","noise, church",Ia taa coocoo to,/ia taː tʃoːtʃoː to/,ehh-ah t-ah-ah ch-oh-ohch-oh-oh t-oh,Let's go to church.,PC,Gambia
678,C,coodi,v,/tʃoːdi/,ch-oh-ohd-ehh,,to point. Kana n coodi. Don't point at me.,to point,Kana n coodi,/kana n tʃoːdi/,k-ahn-ah n ch-oh-ohd-ehh,Don't point at me.,PC,Gambia
679,C,coodibinoo,n,/tʃoːdibinoː/,ch-oh-ohd-ehhb-ehhn-oh-oh,,a horn asa charm. Ila coodinbinoo maabo buno kono. Keep your horn in the house.,a horn asa charm,Ila coodinbinoo maabo buno kono,/ila tʃoːdibinoː maːbo buno kono/,ehhl-ah ch-oh-ohd-ehhnb-ehhn-oh-oh m-ah-ahb-oh b-o-ohn-oh k-ohn-oh,Keep your horn in the house.,PC,Gambia
680,C,coodirano,n,/tʃoːdirano/,ch-oh-ohd-ehhr-ahn-oh,,"finger, pointer. Nin dokoo le mu coodirano ti. This stick is the pointer.","finger, pointer",Nin dokoo le mu coodirano ti,/nin dokoː le mu tʃoːdirano ti/,n-ehhn d-ohk-oh-oh l-eh m-o-oh ch-oh-ohd-ehhr-ahn-oh t-ehh,This stick is the pointer.,PC,Gambia
681,C,cooku,v,/tʃoːku/,ch-oh-ohk-o-oh,,to choke. Nin ye n cooku le. This has gone beyond my control.,to choke,Nin ye n cooku le,/nin je n tʃoːku le/,n-ehhn y-eh n ch-oh-ohk-o-oh l-eh,This has gone beyond my control.,PC,Gambia
682,C,cooli,v,/tʃoːli/,ch-oh-ohl-ehh,,to jump frightfully. Nte man cooli. Ididn't jump up.,to jump frightfully,Nte man cooli,/nte man tʃoːli/,nt-eh m-ahn ch-oh-ohl-ehh,Ididn't jump up.,PC,Gambia
683,C,coosaanoo,n,/tʃoːsaːnoː/,ch-oh-ohs-ah-ahn-oh-oh,,"culture, custom, tradition. Alila coosaanoo le mu fin ti. This is your culture.","culture, custom, tradition",Alila coosaanoo le mu fin ti,/alila tʃoːsaːnoː le mu fin ti/,ahl-ehhl-ah ch-oh-ohs-ah-ahn-oh-oh l-eh m-o-oh f-ehhn t-ehh,This is your culture.,PC,Gambia
684,C,copi,v,/tʃopi/,ch-ohp-ehh,,to peck. Kunoo ye n copi. A bird pecked at me.,to peck,Kunoo ye n copi,/kunoː je n tʃopi/,k-o-ohn-oh-oh y-eh n ch-ohp-ehh,A bird pecked at me.,PC,Gambia
685,C,copoti,v,/tʃopoti/,ch-ohp-oht-ehh,,"to take by pecking, nibble. A ye pankeetoo copoti. Hepecked the pancake.","to take by pecking, nibble",A ye pankeetoo copoti,/a je paŋkeːtoː tʃopoti/,ah y-eh p-ahnk-eh-eht-oh-oh ch-ohp-oht-ehh,Hepecked the pancake.,PC,Gambia
686,C,copoti,n,/tʃopoti/,ch-ohp-oht-ehh,,"pancake, doughtnut. Nin copoti sukuroo siita le. This pancake has a lot of sugar.","pancake, doughtnut",Nin copoti sukuroo siita le,/nin tʃopoti sukuroː siːta le/,n-ehhn ch-ohp-oht-ehh s-o-ohk-o-ohr-oh-oh s-ehh-ehht-ah l-eh,This pancake has a lot of sugar.,PC,Gambia
687,C,Corno,n,/tʃorno/,ch-ohrn-oh,,man's name.,man's name,#N/A,/#n/a/,#n/-ah,man's name.,PC,Gambia
688,C,coroosoo,n,/tʃoroːsoː/,ch-ohr-oh-ohs-oh-oh,,,#N/A,#N/A,/#n/a/,#n/-ah,,PC,Gambia
689,C,coroti,v,/tʃoroti/,ch-ohr-oht-ehh,,to drip. A ye domandin ne coroti pootoo kono. He drippeda little in the tin.,to drip,A ye domandin ne coroti pootoo kono,/a je domandin ne tʃoroti poːtoː kono/,ah y-eh d-ohm-ahnd-ehhn n-eh ch-ohr-oht-ehh p-oh-oht-oh-oh k-ohn-oh,He drippeda little in the tin.,PC,Gambia
690,C,cosaanoo,n,/tʃosaːnoː/,ch-ohs-ah-ahn-oh-oh,,"culture, custom, history, heritage. Cosaanoo buka bula. Cidture is never abandoned.","culture, custom, history, heritage",Cosaanoo buka bula,/tʃosaːnoː buka bula/,ch-ohs-ah-ahn-oh-oh b-o-ohk-ah b-o-ohl-ah,Cidture is never abandoned.,PC,Gambia
691,C,cubaloo,n,/tʃubaloː/,ch-o-ohb-ahl-oh-oh,,fisherman. Cubaloo be nna suwo kono. There isa Jisherman in my compound.,fisherman,Cubaloo be nna suwo kono,/tʃubaloː be nna suwo kono/,ch-o-ohb-ahl-oh-oh b-eh nn-ah s-o-ohw-oh k-ohn-oh,There isa Jisherman in my compound.,PC,Gambia
692,C,cufet,adv,/tʃufet/,ch-o-ohf-eht,,"abruptly, suddenly. Cufet, a wulita. He got up abruptly.","abruptly, suddenly","Cufet, a wulita","/tʃufet, a wulita/","ch-o-ohf-eht, -ah w-o-ohl-ehht-ah",He got up abruptly.,PC,Gambia
693,C,cukunoo,n,/tʃukunoː/,ch-o-ohk-o-ohn-oh-oh,,farm. A bea la cukunoo to. He's at his farm.,farm,A bea la cukunoo to,/a bea la tʃukunoː to/,ah b-eh-ah l-ah ch-o-ohk-o-ohn-oh-oh t-oh,He's at his farm.,PC,Gambia
694,C,cumuwaaroo,n,/tʃumuwaːroː/,ch-o-ohm-o-ohw-ah-ahr-oh-oh,,"seeder, laddle with holes. Nin cumuwaaroo huwolu warata le. This seeder's holes are big:","seeder, laddle with holes",Nin cumuwaaroo huwolu warata le,/nin tʃumuwaːroː huwolu warata le/,n-ehhn ch-o-ohm-o-ohw-ah-ahr-oh-oh h-o-ohw-ohl-o-oh w-ahr-aht-ah l-eh,This seeder's holes are big:,PC,Gambia
695,C,cunkuti,v,/tʃuŋkuti/,ch-o-ohnk-o-oht-ehh,,"to till, soil. Woo bambee cunkuti. Tian that garden bed.","to till, soil",Woo bambee cunkuti,/woː bambeː tʃuŋkuti/,w-oh-oh b-ahmb-eh-eh ch-o-ohnk-o-oht-ehh,Tian that garden bed.,PC,Gambia
696,C,cunti,v,/tʃunti/,ch-o-ohnt-ehh,,to dilute. A be wisikii le cunti kan. He is diluting the whisky.,to dilute,A be wisikii le cunti kan,/a be wisikiː le tʃunti kan/,ah b-eh w-ehhs-ehhk-ehh-ehh l-eh ch-o-ohnt-ehh k-ahn,He is diluting the whisky.,PC,Gambia
697,C,cupa,v,/tʃupa/,ch-o-ohp-ah,,"to pierce, hammer, stab, errect. A be i cupa la le. He will stab you.","to pierce, hammer, stab, errect",A be i cupa la le,/a be i tʃupa la le/,ah b-eh -ehh ch-o-ohp-ah l-ah l-eh,He will stab you.,PC,Gambia
698,C,cuputewo,n,/tʃuputewo/,ch-o-ohp-o-oht-ehw-oh,,pimple. Cuputewo be i buloo to. There is a pimple on your am.,pimple,Cuputewo be i buloo to,/tʃuputewo be i buloː to/,ch-o-ohp-o-oht-ehw-oh b-eh -ehh b-o-ohl-oh-oh t-oh,There is a pimple on your am.,PC,Gambia
699,C,cuputoo,v,/tʃuputoː/,ch-o-ohp-o-oht-oh-oh,,"to pimple, See ""cipon"".","to pimple, See ""cipon""",#N/A,/#n/a/,#n/-ah,"to pimple, See ""cipon"".",PC,Gambia
700,C,curempen,v,/tʃurempen/,ch-o-ohr-ehmp-ehn,,"to See ""cipon"".","to See ""cipon""",#N/A,/#n/a/,#n/-ah,"to See ""cipon"".",PC,Gambia
701,C,cuuboo,n,/tʃuːboː/,ch-o-oh-o-ohb-oh-oh,,"dyed fabric, dye, tie and dye. Cuuboo mu jelu le ti? Dyed fabric is how much?","dyed fabric, dye, tie and dye",#N/A,/#n/a/,#n/-ah,Dyed fabric is how much?,PC,Gambia
702,C,cuunee,n,/tʃuːneː/,ch-o-oh-o-ohn-eh-eh,,"ignorant, inefficient pli A mu cuunee le ti. Hesan i jent player.","ignorant, inefficient pli A mu cuunee le ti",Hesan i jent player,/hesan i dʒent plajer/,h-ehs-ahn -ehh j-ehnt pl-ahy-ehr,,PC,Gambia
703,C,cuura,v,/tʃuːra/,ch-o-oh-o-ohr-ah,,"to brew ataayaa. Jumaa le be ataayaa cuura la? Whowill brew the ""ataayaa""?",to brew ataayaa,#N/A,/#n/a/,#n/-ah,"Whowill brew the ""ataayaa""?",PC,Gambia
704,C,cuuraayi-dandino,n,/tʃuːraːji-dandino/,ch-o-oh-o-ohr-ah-ahy-ehh-d-ahnd-ehhn-oh,,pot. Cuuraayi-dandino be koobaa kono. The incense pot is in the kitchen.,pot,Cuuraayi-dandino be koobaa kono,/tʃuːraːji-dandino be koːbaː kono/,ch-o-oh-o-ohr-ah-ahy-ehh-d-ahnd-ehhn-oh b-eh k-oh-ohb-ah-ah k-ohn-oh,The incense pot is in the kitchen.,PC,Gambia
705,C,cuuraayoo,n,/tʃuːraːjoː/,ch-o-oh-o-ohr-ah-ahy-oh-oh,,incense. Nin cuuraayoo seeroo diyaata. This incense has a nice scent. [De,incense,Nin cuuraayoo seeroo diyaata,/nin tʃuːraːjoː seːroː dijaːta/,n-ehhn ch-o-oh-o-ohr-ah-ahy-oh-oh s-eh-ehr-oh-oh d-ehhy-ah-aht-ah,This incense has a nice scent. [De,PC,Gambia
706,C,cuuroo,n,/tʃuːroː/,ch-o-oh-o-ohr-oh-oh,,porridge. Cuuroo biti. Cover the porridge.,porridge,Cuuroo biti,/tʃuːroː biti/,ch-o-oh-o-ohr-oh-oh b-ehht-ehh,Cover the porridge.,PC,Gambia
707,C,cuuru,v,/tʃuːru/,ch-o-oh-o-ohr-o-oh,,to brew ataayaa.,to brew ataayaa,#N/A,/#n/a/,#n/-ah,to brew ataayaa.,PC,Gambia
708,C,cuut,v,/tʃuːt/,ch-o-oh-o-oht,,to pierce. Dokitaroo yen cuuti n juwo to. The doctor pierced me on my buttocks.,to pierce,Dokitaroo yen cuuti n juwo to,/dokitaroː jen tʃuːti n dʒuwo to/,d-ohk-ehht-ahr-oh-oh y-ehn ch-o-oh-o-oht-ehh n j-o-ohw-oh t-oh,The doctor pierced me on my buttocks.,PC,Gambia
709,D,daa,n,/daː/,d-ah-ah,,"jar, mouth, entrance, price. Fenolu daa man diyaa saayin. Things are not cheap now.","jar, mouth, entrance, price",Fenolu daa man diyaa saayin,/fenolu daː man dijaː saːjin/,f-ehn-ohl-o-oh d-ah-ah m-ahn d-ehhy-ah-ah s-ah-ahy-ehhn,Things are not cheap now.,PC,Gambia
710,D,daa,v,/daː/,d-ah-ah,,to make.,to make,#N/A,/#n/a/,#n/-ah,to make.,PC,Gambia
711,D,daabaa,n,/daːbaː/,d-ah-ahb-ah-ah,,"drum, carving tool, main entrance. Daabaa kosi. Beat the dum.","drum, carving tool, main entrance",Daabaa kosi,/daːbaː kosi/,d-ah-ahb-ah-ah k-ohs-ehh,Beat the dum.,PC,Gambia
712,D,daabaa-kurutoo,n,/daːbaː-kurutoː/,d-ah-ahb-ah-ah-k-o-ohr-o-oht-oh-oh,,big African trouser. Daabaa-kurutoo kara n fie. Sew a trouser for me.,big African trouser,Daabaa-kurutoo kara n fie,/daːbaː-kurutoː kara n fie/,d-ah-ahb-ah-ah-k-o-ohr-o-oht-oh-oh k-ahr-ah n f-ehh-eh,Sew a trouser for me.,PC,Gambia
713,D,daabaloo,n,/daːbaloː/,d-ah-ahb-ahl-oh-oh,,burnt rice. I lafita daabaloo la baake. You like burnt rice a lot.,burnt rice,I lafita daabaloo la baake,/i lafita daːbaloː la baːke/,ehh l-ahf-ehht-ah d-ah-ahb-ahl-oh-oh l-ah b-ah-ahk-eh,You like burnt rice a lot.,PC,Gambia
714,D,daaberoo,n,/daːberoː/,d-ah-ahb-ehr-oh-oh,,porridge. Daaberoo ka diyaa somandaa le. Porridge is nice in the morning.,porridge,Daaberoo ka diyaa somandaa le,/daːberoː ka dijaː somandaː le/,d-ah-ahb-ehr-oh-oh k-ah d-ehhy-ah-ah s-ohm-ahnd-ah-ah l-eh,Porridge is nice in the morning.,PC,Gambia
715,D,daafaa,n,/daːfaː/,d-ah-ahf-ah-ah,,mouthful. Daafaa kilin taa. Take one mouthfidl.,mouthful,Daafaa kilin taa,/daːfaː kilin taː/,d-ah-ahf-ah-ah k-ehhl-ehhn t-ah-ah,Take one mouthfidl.,PC,Gambia
716,D,daafeno,n,/daːfeno/,d-ah-ahf-ehn-oh,,"animal, creature. Wuloo kono daafenolu siyaata. Wild animals are many.","animal, creature",Wuloo kono daafenolu siyaata,/wuloː kono daːfenolu sijaːta/,w-o-ohl-oh-oh k-ohn-oh d-ah-ahf-ehn-ohl-o-oh s-ehhy-ah-aht-ah,Wild animals are many.,PC,Gambia
717,D,daajaa,n,/daːdʒaː/,d-ah-ahj-ah-ah,,"denying. Daajaa bula. Stop denying. (what you said, did)",denying,Daajaa bula,/daːdʒaː bula/,d-ah-ahj-ah-ah b-o-ohl-ah,"Stop denying. (what you said, did)",PC,Gambia
718,D,daajaa,v,/daːdʒaː/,d-ah-ahj-ah-ah,,"to deny. A ye a daajaa le. He has denied what he did, said, etc",to deny,A ye a daajaa le,/a je a daːdʒaː le/,ah y-eh -ah d-ah-ahj-ah-ah l-eh,"He has denied what he did, said, etc",PC,Gambia
720,D,daajikoo,n,/daːdʒikoː/,d-ah-ahj-ehhk-oh-oh,,"habit, manner, behaviour, conduct. I daajikoo man fiiifiaa. Youu- conduct is not good.","habit, manner, behaviour, conduct",I daajikoo man fiiifiaa,/i daːdʒikoː man fiːifiaː/,ehh d-ah-ahj-ehhk-oh-oh m-ahn f-ehh-ehh-ehhf-ehh-ah-ah,Youu- conduct is not good.,PC,Gambia
721,D,daakaa,n,/daːkaː/,d-ah-ahk-ah-ah,,"hangout, work place in the forest, drinking place. Siiratoolu be daakaa to. The drunkards are at the drinking place.","hangout, work place in the forest, drinking place",Siiratoolu be daakaa to,/siːratoːlu be daːkaː to/,s-ehh-ehhr-aht-oh-ohl-o-oh b-eh d-ah-ahk-ah-ah t-oh,The drunkards are at the drinking place.,PC,Gambia
722,D,daakaa,v,/daːkaː/,d-ah-ahk-ah-ah,,to stay. Jaari n be daakaa la jan ne. Next year Il stay here.,to stay,Jaari n be daakaa la jan ne,/dʒaːri n be daːkaː la dʒan ne/,j-ah-ahr-ehh n b-eh d-ah-ahk-ah-ah l-ah j-ahn n-eh,Next year Il stay here.,PC,Gambia
723,D,daakaarin,sv,/daːkaːrin/,d-ah-ahk-ah-ahr-ehhn,,staying. Ate be daakaarin sootuma le. He is staying in Sotuma.,staying,Ate be daakaarin sootuma le,/ate be daːkaːrin soːtuma le/,aht-eh b-eh d-ah-ahk-ah-ahr-ehhn s-oh-oht-o-ohm-ah l-eh,He is staying in Sotuma.,PC,Gambia
724,D,daakaata,v,/daːkaːta/,d-ah-ahk-ah-aht-ah,,to stayed. N daakaata mun banjunu le. [stayed in Banjul.,to stayed,N daakaata mun banjunu le,/n daːkaːta mun bandʒunu le/,n d-ah-ahk-ah-aht-ah m-o-ohn b-ahnj-o-ohn-o-oh l-eh,[stayed in Banjul.,PC,Gambia
725,D,daakaloo,n,/daːkaloː/,d-ah-ahk-ahl-oh-oh,,"beak, pouted mouth. A daakaloo kuntu. Cut its mouth.","beak, pouted mouth",A daakaloo kuntu,/a daːkaloː kuntu/,ah d-ah-ahk-ahl-oh-oh k-o-ohnt-o-oh,Cut its mouth.,PC,Gambia
726,D,daakandee,n,/daːkandeː/,d-ah-ahk-ahnd-eh-eh,,"starch for clothes. Daakandee waafi n ma. Sellme starch,",starch for clothes,Daakandee waafi n ma,/daːkandeː waːfi n ma/,d-ah-ahk-ahnd-eh-eh w-ah-ahf-ehh n m-ah,"Sellme starch,",PC,Gambia
727,D,daakandee,v,/daːkandeː/,d-ah-ahk-ahnd-eh-eh,,to starch. I sinna ferno lu daakandee saama. You starch my clothes tomorrow.,to starch,I sinna ferno lu daakandee saama,/i sinna ferno lu daːkandeː saːma/,ehh s-ehhnn-ah f-ehrn-oh l-o-oh d-ah-ahk-ahnd-eh-eh s-ah-ahm-ah,You starch my clothes tomorrow.,PC,Gambia
728,D,daakoyoo,n,/daːkojoː/,d-ah-ahk-ohy-oh-oh,,bush cattle.,bush cattle,#N/A,/#n/a/,#n/-ah,bush cattle.,PC,Gambia
729,D,daakuloo,n,/daːkuloː/,d-ah-ahk-o-ohl-oh-oh,,"edge, sideline. A landi daakuloo to. Place it on the edge.","edge, sideline",A landi daakuloo to,/a landi daːkuloː to/,ah l-ahnd-ehh d-ah-ahk-o-ohl-oh-oh t-oh,Place it on the edge.,PC,Gambia
